guid,Tenant Name,Rent Amount,Tenant Screening Score,Tenant Screening Approved,Lease Start Date
4C13E7EF-D255-C771-7AC1-166E68716BC8,Duncan Alvarado,1849,65,1,02/22/23
677E3862-E257-FEA8-B876-64125C71FAB2,Nehru Reese,1823,61,1,11/30/22
811743AD-51E2-E1E3-D854-52CE2ED51171,Raymond Dickerson,1642,84,1,10/26/22
E8F9D796-97A9-4F95-7EE3-B5E6429926C8,Aquila Gentry,1540,87,0,10/13/22
59271260-5D8E-0DC4-419E-E41E13E8A990,India Good,1386,64,1,02/04/23
D68D388C-9363-1F76-0BEE-ED5C8F7BA1FA,Solomon Owen,1111,87,1,07/23/23
73615783-ABE8-9BBD-553B-31114A0969B3,Holmes Byrd,1747,76,1,09/26/22
BC050499-F4FA-421E-A7B3-DA466A963E5B,Rinah Brewer,1887,96,0,08/25/22
125CEE37-59F5-452A-BD76-76A29A33737F,William Hines,1624,77,1,01/08/23
30BC32EA-8E77-5367-14C5-F33A0BED323C,Caesar Snider,1603,91,1,08/26/22
565BA5A7-B92B-4C68-71D3-F9F63E2C21AF,Sarah Jefferson,1318,73,0,07/11/23
02261B81-E8D2-BA43-AAE3-4C0DD1DB8EA1,Lewis Potts,1043,69,1,03/07/23
74BDDC4E-B8C5-6AB6-DCB4-41094C61EBC1,Daria Witt,1339,83,0,04/10/23
EC7641D7-ACC2-3A31-9B67-F878A7AECC3B,Willow Sexton,1949,82,0,06/22/23
D6CB8825-96E5-3334-858A-737C674DB55E,Emi Haynes,1108,95,0,11/26/22
38B6D932-9A3B-7DDD-7809-689C3A23DC05,Pandora Gilmore,1581,69,1,07/30/23
4910C965-EC1E-8DE2-E667-8427D69E7B8E,Roth Pace,1887,71,0,08/05/22
1DB2B63E-7B42-B75E-1170-82C6BA82F626,Kai Mcpherson,1814,81,1,07/05/23
8942C980-ED17-AD1D-2C1A-D24CC993A012,Ferdinand Padilla,1854,79,1,02/26/23
17CE2D2D-7484-95C5-9622-F6AF3EAC8BC3,Autumn Shepard,1836,74,0,10/04/22
1312F034-C2C2-7667-6C79-D89DFA3CA5B0,Jayme Dawson,1789,82,0,09/22/22
18F38C8A-A411-9477-817D-4EB0D9823D0C,Breanna Henderson,1361,96,0,04/24/23
52566933-8930-326C-3A42-654D57BE6392,Ryder Vincent,1009,80,1,09/06/22
5716D259-DC87-57C5-437E-3485B4FBBB30,Rogan Kane,1018,79,0,01/12/23
367556D1-8DEE-93D9-7ED7-65EA27C8C2C7,Carl Gilliam,1868,65,0,12/15/22
DC3771C2-46E7-FE37-4C97-C73D95FE0CBA,Fredericka Booker,1223,73,0,04/27/23
AE32D2B5-2591-CDC6-3DBB-4A8E9E442A57,Burke Mercer,1626,69,1,01/27/23
65EBDC92-99EC-87E4-E27E-E15BB6230F1C,Naomi Barton,1695,86,0,08/17/22
3AAA214C-1527-E3EC-7C95-1578251AC9A5,Rosalyn Beard,1409,87,0,05/13/23
473F4D61-3C16-00FA-7C12-AA10503BCF8B,Lionel Sampson,1411,83,1,10/08/22
42129733-5F67-9838-13D4-7D8D4275FE74,Tatyana Ayala,1203,80,0,05/11/23
0C0E6C7D-E4AC-5A5E-4996-1235ECAC2AA9,Merrill Duran,1405,80,0,02/23/23
4C46D402-B444-12B0-B7CD-1B525EB2A23B,Macey Rojas,1615,81,0,10/15/22
D2231B2D-43DE-29C3-2FA6-A56DB262E8CF,Hector Chan,1616,72,0,03/01/23
5622269B-7CD9-9DDA-261F-E12F39A4C2F7,Ulla Carpenter,1150,93,0,01/09/23
25788DC2-7D52-DBC2-BB4B-9EAB49C330AC,Yardley Sanders,1617,92,0,09/27/22
62C7C231-BA51-6971-3867-72B6C9D824BF,Coby Mcclain,1542,96,0,11/06/22
42A563B1-EE96-6343-423A-188176FC36D2,Basia Swanson,1910,69,0,09/11/22
BB53363D-EFC3-FFF7-56DD-8937B9D88FDF,Olivia Dudley,1426,98,1,09/09/22
BB246C56-D153-BCB2-14FE-AE9E7AB51D9B,Ashton Dyer,1601,90,1,03/24/23
D1433443-9A27-AB68-675F-470D512281A9,Curran Ewing,1393,94,1,07/29/23
6EC1E386-AE3F-4349-DF29-52CA61ED394E,Andrew Byers,1674,74,0,12/10/22
D841D68C-1A5B-19D1-3AC7-73DCF1E3B607,Merritt Joyner,1121,96,0,12/19/22
222C379C-5993-A7DC-7496-2E36B431A998,Emerson Ellis,1390,93,0,05/24/23
6ABD55FF-1AA5-870F-E6B2-AF11415D8391,Colleen Zimmerman,1263,85,0,03/12/23
B61B0557-9998-67D5-5EF9-96A3EAF214E5,Odessa Christian,1262,75,1,11/28/22
220699A4-E491-6E99-1F43-48F5A3631AE5,Davis West,1287,77,1,07/13/23
DE832BDA-8633-9510-B35F-F8D6BA894308,Moana Joyner,1724,100,0,09/17/22
215A58FB-4576-BC02-311C-4031A043314F,Remedios Collier,1614,98,1,02/11/23
2CD64BB9-A1E0-8E43-2B86-367758EE1CF1,Kevyn Black,1957,68,1,09/29/22
2949B349-5AC0-6B3A-D198-E4C67C849C55,Gareth Bolton,1342,76,1,01/20/23
6DFA70B3-45C6-898C-CDDD-A941854E35E9,Ralph Sexton,1340,97,0,05/29/23
993B7EFC-E3E8-D2E8-D47C-5DB717A41A74,Micah Greene,1427,63,1,01/05/23
C5DDA749-557B-F5A6-534B-392AAFB4EDF0,Riley Stout,1142,87,0,05/09/23
F2E545A8-6A31-B49C-DDE0-DDCDAED100A1,Rhea Ochoa,1976,98,1,05/28/23
73F44F45-CD37-C619-36BC-E49D8C145C5A,Kylie Delacruz,1594,95,1,08/02/22
EECAB6D9-49DE-9EAB-10E6-A141B221267D,Kuame Conway,1850,96,0,09/03/22
53E7AAEA-B57D-13A0-FD56-3884224A3188,Briar Buckner,1179,63,0,03/13/23
4336566C-E11A-FE3F-BAF1-9197586B301B,Leigh Alford,1134,87,0,10/20/22
2A4565DC-068D-4D31-EE8A-265B4897A703,Murphy Tanner,1827,69,1,05/29/23
26505A1E-472A-E4D4-7B7D-7433D3D4A0EC,April Herman,1794,89,1,02/16/23
